Team,First Name,Last Name,Position,Awareness,Speed,Acceleration,Agility,Strength,Elusiveness,Carrying,Trucking,Catching,Jumping,Throw Power,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Throw on the Run,Throw Accuracy,Pass Block,Run Block,Pass Block Strength,Pass Block Footwork,Run Block Strength,Run Block Footwork,Tackle,Kick Power,Kick Accuracy,Kick Return,Stamina,Injury,Toughness
Buccaneers,Kevin,Pamphile,LT,63,73,79,66,82,,35,19,25,78,22,6,6,6,,,80,78,,,,,50,21,20,10,75,93,75
Buccaneers,Donovan,Smith,LT,74,72,81,68,88,,25,25,25,82,30,6,6,6,,,83,76,,,,,39,25,25,10,80,87,74
Buccaneers,Kwon,Alexander,MLB,79,87,90,83,79,,50,50,66,86,27,6,6,6,,,45,45,,,,,78,20,20,15,78,84,84
Buccaneers,Micah,Awe,MLB,44,83,89,91,75,,55,43,67,81,25,6,6,6,,,45,45,,,,,86,20,20,10,97,89,80
Buccaneers,Adarius,Glanton,MLB,56,85,84,80,78,,55,49,54,82,25,6,6,6,,,45,45,,,,,79,22,21,15,82,90,76
Buccaneers,Cassanova,McKinzy,MLB,40,78,87,81,78,,64,56,61,70,25,6,6,6,,,45,45,,,,,78,20,20,15,87,90,80
Buccaneers,Bryan,Anger,P,66,71,72,74,55,,60,25,65,75,50,30,30,25,,,19,25,,,,,25,95,89,10,85,97,82
Buccaneers,Jacob,Schum,P,61,63,57,60,49,,40,10,25,30,45,30,30,25,,,19,16,,,,,22,92,87,10,90,89,48
Buccaneers,Mike,Glennon,QB,69,69,74,53,58,,61,34,25,65,93,81,76,77,,,20,25,,,,,30,22,21,10,90,93,85
Buccaneers,Ryan,Griffin,QB,54,64,76,63,52,,66,30,45,65,81,82,78,72,,,14,15,,,,,19,22,22,10,87,90,74
Buccaneers,Dan,LeFevour,QB,49,78,79,75,66,,65,69,35,74,86,79,75,63,,,26,19,,,,,35,25,20,10,95,90,88
Buccaneers,Jameis,Winston,QB,78,78,82,81,75,,63,69,65,78,95,88,85,81,,,15,44,,,,,45,30,26,10,96,97,93
Buccaneers,William,Gholston,RE,77,72,81,73,77,,46,54,45,76,35,6,6,6,,,45,45,,,,,82,30,30,10,75,87,77
Buccaneers,George,Johnson,RE,73,75,82,72,67,,35,35,35,71,10,6,6,6,,,45,45,,,,,69,30,20,10,75,82,75
Buccaneers,Cliff,Matthews,RE,59,75,84,69,76,,45,45,45,76,35,10,10,10,,,45,45,,,,,74,30,30,10,72,84,90
Buccaneers,Caleb,Benenoch,RG,64,73,84,68,78,,33,30,25,77,25,6,6,6,,,72,76,,,,,33,22,21,10,83,86,75
Buccaneers,Ali,Marpet,RG,73,73,83,68,88,,45,20,45,80,30,6,6,6,,,74,89,,,,,37,25,25,10,82,90,82
Buccaneers,Devante,Bond,ROLB,56,82,87,85,74,,32,27,46,85,27,6,6,6,,,20,25,,,,,72,25,24,10,88,87,74
Buccaneers,Lavonte,David,ROLB,89,85,89,87,66,,60,26,77,88,15,6,6,6,,,45,45,,,,,88,14,12,10,97,97,89
Buccaneers,Jeremiah,George,ROLB,61,83,87,75,76,,45,44,55,89,27,6,6,6,,,45,45,,,,,84,20,20,21,88,92,77
Buccaneers,Gosder,Cherilus,RT,73,67,79,51,87,,45,20,45,50,30,6,6,6,,,73,70,,,,,30,25,25,10,83,87,85
Buccaneers,Demar,Dotson,RT,81,49,64,52,86,,35,20,25,50,22,6,6,6,,,78,81,,,,,55,15,15,10,83,92,80
Buccaneers,Taylor,Fallin,RT,41,56,71,59,70,,59,44,61,63,31,5,5,5,,,72,77,,,,,35,27,15,10,84,88,75
Buccaneers,Chris,Conte,SS,75,85,83,79,65,,60,49,65,83,25,10,10,10,,,45,45,,,,,61,20,20,10,85,93,77
Buccaneers,Kimario,McFadden,SS,51,86,90,81,67,,53,38,51,89,25,6,6,6,,,35,35,,,,,67,15,11,34,88,90,71
Buccaneers,Keith,Tandy,SS,66,86,92,90,52,,59,25,62,86,35,6,6,6,,,45,45,,,,,66,20,20,42,90,93,86
Buccaneers,Cameron,Brate,TE,68,79,85,73,72,,76,62,81,81,20,15,10,6,,,62,75,,,,,40,24,22,8,84,91,75
Buccaneers,Kivon,Cartwright,TE,41,80,83,74,80,,70,60,73,82,30,15,10,6,,,60,66,,,,,42,21,19,18,83,87,77
Buccaneers,Alan,Cross,TE,41,78,82,74,74,,73,60,72,74,30,15,10,6,,,66,74,,,,,42,21,19,18,83,87,78
Buccaneers,Andrew,DePaola,TE,65,78,82,83,76,,63,31,66,82,42,9,9,9,,,71,73,,,,,61,11,11,10,76,92,72
Buccaneers,Brandon,Myers,TE,69,75,84,70,62,,76,70,73,74,40,20,15,15,,,49,78,,,,,52,23,22,10,82,87,82
Buccaneers,Austin,Seferian-Jenkins,TE,64,86,84,78,74,,68,71,80,87,35,19,18,17,,,68,75,,,,,45,25,15,10,82,83,74
Buccaneers,Luke,Stocker,TE,72,80,87,74,75,,73,76,73,80,42,15,10,6,,,72,66,,,,,45,14,22,10,95,83,90
Buccaneers,Danny,Vitale,TE,53,85,87,86,84,,75,76,72,86,33,18,15,13,,,63,71,,,,,40,23,22,8,86,90,85
Buccaneers,Kenny,Bell,WR,58,92,95,93,59,,65,30,76,92,35,15,10,6,,,35,62,,,,,28,20,18,79,87,86,79
Buccaneers,Donteea,Dye Jr.,WR,58,91,91,90,69,,71,44,75,91,34,21,19,15,,,47,53,,,,,48,21,15,60,87,90,71
Buccaneers,Mike,Evans,WR,86,88,91,88,76,,72,76,83,93,35,25,20,15,,,45,59,,,,,39,25,24,50,92,91,88
Buccaneers,Adam,Humphries,WR,69,88,89,82,67,,69,35,77,82,33,15,10,6,,,25,59,,,,,28,25,30,82,88,87,66
Buccaneers,Vincent,Jackson,WR,88,85,86,82,78,,85,72,91,92,19,15,10,6,,,45,61,,,,,40,19,19,50,88,86,88
Buccaneers,Freddie,Martino,WR,50,88,88,92,55,,66,42,77,84,40,10,10,10,,,40,40,,,,,39,30,22,72,85,90,72
Buccaneers,Louis,Murphy,WR,79,87,91,86,57,,72,46,78,93,23,15,10,6,,,29,52,,,,,28,24,21,65,91,78,88
Buccaneers,Bernard,Reedy,WR,61,87,90,92,62,,64,26,80,87,35,15,10,6,,,36,37,,,,,31,22,22,73,89,90,68
Buccaneers,Russell,Shepard,WR,52,88,89,90,44,,70,60,78,91,68,54,55,52,,,45,58,,,,,35,25,24,76,87,93,73
Buccaneers,Evan,Spencer,WR,53,90,88,84,72,,70,50,74,85,53,45,42,49,,,40,62,,,,,34,20,22,58,85,91,82
Cardinals,Evan,Boehm,C,60,61,74,59,82,,31,28,27,71,18,6,6,6,,,79,78,,,,,35,20,20,9,85,89,97
Cardinals,Taylor,Boggs,C,70,57,73,53,86,,35,10,15,72,10,6,6,6,,,71,78,,,,,30,11,11,10,81,85,86
Cardinals,A.Q.,Shipley,C,66,61,79,54,86,,40,10,25,29,17,6,6,6,,,78,82,,,,,26,19,16,10,80,87,97
Cardinals,Justin,Bethel,CB,69,86,88,93,64,,68,36,60,97,36,6,6,6,,,45,45,,,,,64,26,26,40,92,93,70
Cardinals,Cariel,Brooks,CB,51,86,89,81,66,,49,21,51,86,20,10,10,10,,,45,45,,,,,41,22,17,41,86,87,65
Cardinals,Asa,Jackson,CB,65,87,90,93,57,,72,31,64,85,36,6,6,6,,,45,45,,,,,49,15,11,79,90,85,65
Cardinals,Mike,Jenkins,CB,70,88,91,85,59,,68,35,61,93,35,6,6,6,,,45,45,,,,,49,25,25,65,93,92,82
Cardinals,Harlan,Miller,CB,50,87,89,84,59,,62,28,67,85,27,6,6,6,,,21,26,,,,,69,18,17,56,86,87,73
Cardinals,Patrick,Peterson,CB,86,93,92,97,67,,67,55,81,97,70,60,37,32,,,45,45,,,,,60,28,21,88,97,97,82
Cardinals,Shaun,Prater,CB,66,86,89,89,53,,64,36,52,89,36,6,6,6,,,45,45,,,,,55,25,25,45,93,88,72
Cardinals,Brandon,Williams,CB,52,93,92,91,72,,75,49,53,84,27,15,10,8,,,20,26,,,,,52,18,17,56,90,91,88
Cardinals,Rodney,Gunter,DT,62,72,80,67,75,,41,21,40,75,12,6,6,6,,,45,45,,,,,81,10,15,10,73,88,75
Cardinals,Corey,Peters,DT,80,69,82,65,78,,40,20,49,75,10,6,6,6,,,45,45,,,,,86,8,6,10,76,88,75
Cardinals,Olsen,Pierre,DT,57,66,79,65,75,,45,45,44,77,19,6,6,6,,,45,45,,,,,79,25,21,10,73,90,75
Cardinals,Xavier,Williams,DT,54,62,77,64,83,,40,34,35,55,29,6,6,6,,,45,45,,,,,73,26,21,15,81,87,88
Cardinals,Chris,Clemons,FS,72,87,93,81,65,,55,20,54,87,25,15,10,10,,,45,45,,,,,65,15,14,42,91,94,77
Cardinals,Tony,Jefferson,FS,78,79,87,81,64,,55,45,64,82,24,6,6,6,,,45,45,,,,,72,26,19,40,90,82,80
Cardinals,Tyrann,Mathieu,FS,87,90,93,94,44,,68,35,81,86,35,6,6,6,,,45,45,,,,,72,25,22,86,94,84,85
Cardinals,Andre,Ellington,HB,81,89,89,93,54,,84,59,66,84,25,33,29,20,,,39,35,,,,,29,15,15,76,93,76,84
Cardinals,Chris,Johnson,HB,84,92,95,87,61,,85,39,61,86,30,35,30,20,,,49,30,,,,,22,25,25,60,89,92,71
Cardinals,David,Johnson,HB,74,92,90,84,82,,86,86,66,91,25,25,20,15,,,50,40,,,,,25,20,17,85,87,90,90
Cardinals,Stepfan,Taylor,HB,65,84,88,81,67,,88,86,65,77,35,30,25,20,,,74,55,,,,,35,25,25,50,89,97,93
Cardinals,Kerwynn,Williams,HB,58,88,91,89,60,,79,54,64,90,41,35,30,20,,,36,38,,,,,34,24,20,78,94,91,69
Cardinals,Chandler,Catanzaro,K,63,73,70,63,54,,45,10,40,65,29,35,30,25,,,15,15,,,,,28,95,88,10,82,93,59
Cardinals,Red,Bryant,LE,82,69,82,63,89,,35,20,49,71,26,6,6,6,,,45,45,,,,,91,25,25,10,74,88,84
Cardinals,Calais,Campbell,LE,85,71,80,80,87,,45,40,46,85,35,6,6,6,,,45,45,,,,,92,30,30,10,92,96,80
Cardinals,Robert,Nkemdiche,LE,67,77,86,86,81,,48,45,58,84,23,6,6,6,,,20,50,,,,,79,17,17,9,83,88,85
Cardinals,Mike,Iupati,LG,84,60,74,65,97,,40,25,32,60,14,6,6,6,,,77,93,,,,,31,35,22,10,80,90,97
Cardinals,Markus,Golden,LOLB,61,80,85,72,69,,55,51,55,78,35,6,6,6,,,45,45,,,,,74,30,30,10,84,90,80
Cardinals,Alex,Okafor,LOLB,72,74,83,71,76,,55,40,48,72,14,6,6,6,,,45,45,,,,,68,16,11,10,88,95,90
Cardinals,Shaq,Riddick,LOLB,51,84,90,83,72,,65,45,48,86,35,6,6,6,,,45,45,,,,,69,30,30,10,77,88,74
Cardinals,Clay,DeBord,LT,52,71,81,53,80,,45,35,50,74,32,6,6,6,,,72,72,,,,,40,25,22,10,88,91,81
Cardinals,Jared,Veldheer,LT,88,66,80,66,97,,40,10,28,67,12,6,6,6,,,84,86,,,,,29,6,8,10,85,95,85
Cardinals,Deone,Bucannon,MLB,78,89,91,83,75,,68,63,75,86,29,6,6,6,,,45,45,,,,,82,19,22,35,88,94,88
Cardinals,Donald,Butler,MLB,77,81,84,81,73,,54,44,59,77,25,6,6,6,,,45,45,,,,,87,20,20,10,95,79,86
Cardinals,Alani,Fua,MLB,56,85,86,76,73,,45,35,56,82,25,6,6,6,,,45,45,,,,,76,20,20,10,90,90,87
Cardinals,Lamar,Louis,MLB,48,86,89,81,82,,36,59,55,80,14,6,6,6,,,45,45,,,,,69,12,10,10,89,85,78
Cardinals,Kevin,Minter,MLB,83,77,84,79,74,,60,45,52,81,25,6,6,6,,,45,45,,,,,80,20,20,10,92,85,83
Cardinals,Daryl,Washington,MLB,63,85,88,88,73,,55,40,58,86,36,6,6,6,,,45,45,,,,,84,10,16,10,96,91,92
Cardinals,Drew,Butler,P,60,68,70,64,49,,48,15,45,45,50,44,36,28,,,20,20,,,,,25,84,91,10,87,95,54
Cardinals,Garrett,Swanson,P,45,73,81,70,79,,45,16,37,73,48,30,15,10,,,17,19,,,,,35,90,79,10,90,90,65
Cardinals,Matt,Barkley,QB,51,73,77,64,63,,73,32,35,72,84,84,76,71,,,19,20,,,,,25,25,25,10,95,87,87
Cardinals,Jake,Coker,QB,60,68,74,69,61,,60,33,39,65,91,77,67,66,,,17,21,,,,,24,21,20,11,90,87,81
Cardinals,Carson,Palmer,QB,94,67,62,59,64,,59,20,12,52,91,94,93,88,,,11,10,,,,,13,14,17,10,95,88,95
Cardinals,Drew,Stanton,QB,69,75,79,73,63,,68,20,35,67,89,76,75,74,,,26,19,,,,,28,27,21,10,92,86,80
Cardinals,Josh,Mauro,RE,64,64,80,54,85,,55,50,49,80,35,6,6,6,,,45,45,,,,,77,33,32,10,86,95,85
Cardinals,Frostee,Rucker,RE,85,73,78,70,80,,40,30,30,68,11,6,6,6,,,45,45,,,,,86,15,18,10,75,88,85
Cardinals,Ed,Stinson,RE,63,72,79,53,88,,40,15,33,75,16,6,6,6,,,45,45,,,,,76,15,25,10,74,79,88
Cardinals,Evan,Mathis,RG,88,68,80,64,88,,40,10,25,45,11,6,6,6,,,81,96,,,,,28,18,18,10,91,91,83
Cardinals,Antoine,McClain,RG,62,51,67,54,81,,45,20,45,74,30,6,6,6,,,72,77,,,,,35,25,25,10,82,85,81
Cardinals,Cole,Toner,RG,76,52,72,51,78,,64,20,42,60,30,6,6,6,,,69,72,,,,,41,22,21,10,76,87,75
Cardinals,Earl,Watford,RG,70,68,79,71,85,,44,25,34,79,23,6,6,6,,,74,83,,,,,44,14,10,10,83,95,87
Cardinals,Chandler,Jones,ROLB,84,79,86,81,81,,47,35,48,86,20,6,6,6,,,45,45,,,,,82,25,15,10,95,84,85
Cardinals,Gabe,Martin,ROLB,52,84,88,77,75,,56,45,59,88,27,6,6,6,,,45,45,,,,,81,28,28,29,83,87,88
Cardinals,Kareem,Martin,ROLB,58,81,89,73,79,,45,35,35,86,16,6,6,6,,,45,45,,,,,81,15,20,10,78,91,74
Cardinals,D.J.,Humphries,RT,54,68,76,74,88,,40,21,35,80,10,6,6,6,,,83,78,,,,,45,13,6,10,92,82,87
Cardinals,Givens,Price,RT,52,70,74,58,79,,38,23,22,77,30,6,6,6,,,71,70,,,,,50,22,21,10,84,85,78
Cardinals,Tyvon,Branch,SS,75,90,93,84,66,,66,40,48,90,36,6,6,6,,,45,45,,,,,70,25,25,65,94,84,84
Cardinals,Marqui,Christian,SS,47,88,94,88,67,,63,46,63,85,26,6,6,6,,,20,24,,,,,74,23,19,35,88,89,84
Cardinals,D.J.,Swearinger,SS,65,82,89,83,63,,64,45,68,89,34,15,10,10,,,45,45,,,,,61,20,15,35,92,91,88
Cardinals,Kameron,Canaday,TE,52,67,78,61,69,,60,55,55,79,11,15,10,6,,,75,47,,,,,46,15,15,6,84,92,80
Cardinals,Gerald,Christian,TE,44,79,88,82,80,,62,57,72,80,35,15,10,6,,,54,68,,,,,40,30,30,35,84,87,70
Cardinals,Darren,Fells,TE,72,73,79,80,77,,76,71,80,84,35,15,10,6,,,57,65,,,,,45,15,14,15,82,90,74
Cardinals,Jermaine,Gresham,TE,79,80,87,81,76,,67,79,81,87,29,15,10,6,,,59,87,,,,,45,22,12,10,88,84,95
Cardinals,Ifeanyi,Momah,TE,57,82,84,83,75,,68,68,76,89,40,15,10,6,,,48,64,,,,,40,14,22,25,85,83,78
Cardinals,Troy,Niklas,TE,58,76,80,79,82,,73,69,78,81,19,15,10,6,,,68,72,,,,,35,17,18,10,92,95,75
Cardinals,Hakeem,Valles,TE,51,83,85,72,71,,60,65,71,80,20,15,10,6,,,64,69,,,,,48,15,15,15,88,85,78
Cardinals,Jaron,Brown,WR,70,90,89,92,67,,68,58,81,86,32,15,10,6,,,42,61,,,,,39,16,15,60,85,90,73
Cardinals,John,Brown,WR,89,94,90,97,41,,71,39,91,91,35,15,10,6,,,30,45,,,,,25,30,30,81,88,87,65
Cardinals,Amir,Carlisle,WR,60,89,86,85,77,,70,67,72,83,40,15,10,6,,,40,45,,,,,35,13,15,63,89,88,80
Cardinals,Larry,Fitzgerald,WR,98,86,88,84,74,,77,69,97,96,26,15,10,6,,,40,59,,,,,30,18,19,25,98,94,97
Cardinals,Michael,Floyd,WR,88,90,90,87,74,,77,72,88,89,29,15,10,6,,,55,60,,,,,40,19,15,40,95,89,90
Cardinals,Brittan,Golden,WR,55,87,88,88,54,,63,35,77,88,30,10,10,10,,,22,54,,,,,35,26,26,73,87,92,66
Cardinals,J.J.,Nelson,WR,66,96,94,92,39,,63,25,83,88,28,29,25,21,,,27,31,,,,,24,21,20,77,86,78,65
Chargers,Spencer,Pulley,C,42,69,64,61,83,,38,20,32,70,24,6,6,6,,,76,76,,,,,35,20,20,9,81,89,84
Chargers,Trevor,Robinson,C,75,62,77,59,89,,40,20,15,79,29,6,6,6,,,68,68,,,,,38,9,14,10,79,90,85
Chargers,Matt,Slauson,C,85,59,76,51,90,,40,10,28,27,24,6,6,6,,,86,88,,,,,42,26,28,10,84,85,95
Chargers,Max,Tuerk,C,66,68,69,73,79,,29,23,23,73,24,6,6,6,,,77,79,,,,,37,20,20,9,83,87,88
Chargers,Chris,Watt,C,76,54,73,56,90,,40,29,30,67,31,6,6,6,,,72,76,,,,,29,16,12,10,85,87,92
Chargers,Terrell,Chestnut,CB,44,85,91,85,72,,66,10,71,81,22,6,6,6,,,45,45,,,,,61,34,17,39,91,91,79
Chargers,Brandon,Flowers,CB,87,86,91,88,60,,70,45,67,86,40,6,6,6,,,45,45,,,,,63,25,25,61,94,90,80
Chargers,Casey,Hayward,CB,87,87,88,87,63,,55,25,82,87,30,6,6,6,,,45,45,,,,,53,22,24,35,95,87,64
Chargers,Craig,Mager,CB,55,90,92,90,69,,61,39,70,88,25,6,6,6,,,45,45,,,,,65,15,14,70,88,92,83
Chargers,Larry,Scott,CB,42,86,87,86,78,,60,28,63,81,27,6,6,6,,,43,44,,,,,56,18,17,56,90,87,73
Chargers,Jason,Verrett,CB,82,93,93,94,58,,59,23,77,92,22,6,6,6,,,45,45,,,,,58,30,25,66,95,86,83
Chargers,Steve,Williams,CB,71,92,92,93,46,,54,33,67,94,30,6,6,6,,,45,45,,,,,54,20,18,60,92,86,71
Chargers,Ryan,Carrethers,DT,61,55,79,52,94,,40,32,35,67,21,6,6,6,,,45,45,,,,,81,24,18,10,72,94,86
Chargers,Sean,Lissemore,DT,78,71,81,65,84,,55,42,35,55,28,6,6,6,,,45,45,,,,,78,17,22,10,81,90,84
Chargers,Brandon,Mebane,DT,86,61,79,60,91,,40,10,20,55,25,6,6,6,,,45,45,,,,,86,24,20,10,80,88,90
Chargers,Chris,Swain,FB,40,82,88,83,80,,73,80,65,73,35,20,15,10,,,59,61,,,,,45,19,19,45,89,93,87
Chargers,Derek,Watt,FB,53,81,86,75,74,,75,77,69,83,27,20,15,10,,,62,74,,,,,42,19,19,32,87,90,93
Chargers,Dwight,Lowery,FS,78,82,88,84,58,,66,35,70,86,36,6,6,6,,,45,45,,,,,74,25,25,63,94,90,78
Chargers,Adrian,Phillips,FS,54,86,89,87,63,,62,25,51,85,20,15,10,10,,,45,45,,,,,69,25,15,50,87,92,75
Chargers,Darrell,Stuckey,FS,64,86,86,88,51,,55,40,68,90,25,15,10,10,,,45,45,,,,,68,20,20,65,93,75,80
Chargers,Kenneth,Farrow,HB,41,86,88,80,82,,75,72,55,89,31,25,20,15,,,52,43,,,,,33,21,20,55,86,88,80
Chargers,Melvin,Gordon,HB,70,91,89,91,71,,72,72,61,85,35,5,5,5,,,42,38,,,,,42,22,21,69,89,92,79
Chargers,Branden,Oliver,HB,72,87,90,91,70,,88,68,65,83,30,35,30,20,,,50,44,,,,,35,23,15,84,89,90,75
Chargers,Dreamius,Smith,HB,46,89,89,79,73,,76,78,48,85,29,30,25,15,,,47,40,,,,,25,20,20,65,80,84,71
Chargers,Danny,Woodhead,HB,93,88,93,92,51,,88,45,75,87,25,35,25,15,,,43,22,,,,,26,24,22,82,84,79,88
Chargers,Josh,Lambo,K,58,67,74,72,49,,45,15,35,72,29,35,33,25,,,16,19,,,,,31,93,85,10,85,92,55
Chargers,Joey,Bosa,LE,68,80,86,85,82,,43,36,53,78,28,6,6,6,,,24,35,,,,,73,26,19,9,84,90,85
Chargers,Darius,Philon,LE,53,74,87,74,79,,45,44,44,80,35,6,6,6,,,45,45,,,,,78,30,30,10,74,89,82
Chargers,Orlando,Franklin,LG,82,65,78,57,93,,40,22,26,55,17,6,6,6,,,70,73,,,,,45,15,22,10,78,88,91
Chargers,Kenny,Wiggins,LG,75,53,68,54,84,,40,29,35,66,11,6,6,6,,,70,76,,,,,35,18,18,10,81,92,80
Chargers,Jeremiah,Attaochu,LOLB,78,86,88,76,73,,55,45,46,88,27,6,6,6,,,45,45,,,,,78,39,35,10,82,90,80
Chargers,Jatavis,Brown,LOLB,52,87,88,84,84,,44,30,55,86,25,6,6,6,,,21,29,,,,,78,19,19,10,88,89,86
Chargers,Tyler,Marcordes,LOLB,41,84,89,83,73,,53,53,58,83,28,6,6,6,,,45,45,,,,,83,14,17,10,91,89,85
Chargers,Tourek,Williams,LOLB,54,73,82,78,78,,55,45,48,82,25,6,6,6,,,45,45,,,,,79,20,20,10,78,84,85
Chargers,King,Dunlap,LT,84,58,77,62,93,,35,20,30,55,26,6,6,6,,,82,85,,,,,35,25,25,10,74,82,74
Chargers,Chris,Hairston,LT,79,56,75,64,87,,35,10,30,44,20,6,6,6,,,71,73,,,,,30,20,20,10,73,92,88
Chargers,Nick,Dzubnar,MLB,66,83,82,70,73,,45,46,44,69,25,6,6,6,,,45,45,,,,,85,15,19,15,91,87,89
Chargers,Joshua,Perry,MLB,62,83,87,75,77,,42,30,53,83,24,6,6,6,,,19,28,,,,,85,15,17,10,89,90,89
Chargers,Denzel,Perryman,MLB,74,82,88,74,85,,65,45,52,83,25,6,6,6,,,45,45,,,,,86,20,20,10,84,93,88
Chargers,Manti,Te'o,MLB,84,77,87,80,69,,71,62,76,82,29,6,6,6,,,45,45,,,,,87,34,35,10,95,91,85
Chargers,Drew,Kaser,P,50,69,66,68,36,,40,12,39,40,45,26,23,17,,,9,7,,,,,29,95,90,10,81,84,43
Chargers,Mike,Bercovici,QB,45,78,87,80,60,,61,33,39,69,90,80,73,68,,,17,21,,,,,24,21,20,11,90,88,83
Chargers,Kellen,Clemens,QB,72,69,68,66,58,,65,20,35,83,84,81,78,78,,,29,24,,,,,36,30,12,13,92,85,75
Chargers,Zach,Mettenberger,QB,59,65,69,58,62,,65,40,23,66,92,76,74,73,,,14,11,,,,,18,12,12,10,88,82,80
Chargers,Philip,Rivers,QB,94,62,62,56,62,,51,20,22,45,88,92,89,81,,,12,13,,,,,22,15,12,10,95,98,98
Chargers,Corey,Liuget,RE,83,71,80,73,91,,40,40,35,55,14,6,6,6,,,45,45,,,,,88,21,17,10,87,95,80
Chargers,Tenny,Palepoi,RE,64,68,82,64,89,,40,29,26,78,10,6,6,6,,,45,45,,,,,83,29,25,10,73,88,77
Chargers,Damion,Square,RE,57,63,79,71,80,,40,24,40,68,19,6,6,6,,,45,45,,,,,76,15,11,10,77,87,75
Chargers,Donavon,Clark,RG,52,66,78,53,79,,25,22,12,62,25,6,6,6,,,73,75,,,,,32,22,21,10,85,93,95
Chargers,D.J.,Fluker,RG,81,61,76,54,91,,25,25,25,68,30,6,6,6,,,72,77,,,,,39,25,25,10,85,92,77
Chargers,Kyle,Emanuel,ROLB,66,80,84,74,82,,55,54,52,84,25,6,6,6,,,45,45,,,,,70,32,29,10,81,92,78
Chargers,Melvin,Ingram,ROLB,82,81,86,85,84,,59,55,62,85,24,6,6,6,,,45,45,,,,,81,15,17,10,87,88,84
Chargers,Chris,Landrum,ROLB,43,79,87,83,74,,50,50,65,75,18,6,6,6,,,45,45,,,,,76,22,29,10,89,91,72
Chargers,Shaq,Petteway,ROLB,43,82,87,78,72,,55,43,67,80,25,6,6,6,,,45,45,,,,,83,20,20,10,97,89,80
Chargers,Joe,Barksdale,RT,82,59,74,63,88,,40,10,35,59,22,6,6,6,,,85,78,,,,,42,22,21,10,79,90,82
Chargers,Tyreek,Burwell,RT,51,72,84,62,82,,40,24,27,74,11,5,5,5,,,71,75,,,,,33,15,12,10,78,88,79
Chargers,Tyler,Johnstone,RT,40,66,80,70,79,,40,28,25,74,15,6,6,6,,,75,77,,,,,30,20,21,10,84,88,80
Chargers,Jahleel,Addae,SS,68,82,86,83,59,,62,55,71,90,25,15,10,10,,,45,45,,,,,74,15,30,55,89,92,82
Chargers,Asante,Cleveland,TE,59,75,82,75,75,,71,70,66,82,35,15,10,6,,,64,79,,,,,34,33,32,25,82,91,71
Chargers,Jeff,Cumberland,TE,82,83,88,72,73,,72,66,73,70,20,15,10,6,,,64,69,,,,,48,15,15,15,82,88,74
Chargers,Antonio,Gates,TE,92,78,83,80,63,,77,72,90,89,25,15,10,6,,,57,64,,,,,44,15,19,8,87,77,85
Chargers,Hunter,Henry,TE,65,84,89,80,75,,75,72,80,82,28,15,10,6,,,68,77,,,,,42,21,19,18,91,89,93
Chargers,Sean,McGrath,TE,71,77,84,76,68,,70,65,75,77,20,15,10,5,,,54,74,,,,,40,20,22,5,83,90,80
Chargers,Mike,Windt,TE,72,72,70,66,73,,60,10,65,54,10,10,10,10,,,65,55,,,,,49,11,14,10,75,88,80
Chargers,Keenan,Allen,WR,89,89,92,91,69,,74,71,91,91,35,30,25,15,,,45,51,,,,,34,22,20,76,94,88,83
Chargers,Torrence,Allen,WR,62,91,93,86,58,,65,28,81,92,24,15,12,10,,,25,35,,,,,35,21,18,48,87,91,81
Chargers,Travis,Benjamin,WR,84,93,91,96,37,,77,34,84,90,30,10,10,10,,,26,45,,,,,20,20,15,95,92,82,62
Chargers,Isaiah,Burse,WR,47,86,89,91,57,,69,31,75,80,29,15,10,6,,,25,32,,,,,20,16,25,75,89,93,68
Chargers,Javontee,Herndon,WR,56,89,89,91,70,,62,39,75,84,40,15,10,6,,,35,38,,,,,25,30,30,74,86,89,64
Chargers,Dontrelle,Inman,WR,77,87,86,92,54,,67,62,81,85,35,15,10,6,,,35,50,,,,,39,61,54,72,87,92,74
Chargers,Stevie,Johnson,WR,82,86,91,84,65,,69,56,81,87,35,15,10,6,,,30,38,,,,,25,25,25,78,96,95,95
Chargers,Jamaal,Jones,WR,42,86,82,86,75,,63,51,75,85,35,30,25,15,,,36,47,,,,,31,23,22,65,88,87,76
Chargers,Deandre,Reaves,WR,40,88,95,86,71,,63,51,75,77,35,15,10,6,,,36,47,,,,,31,23,22,85,88,87,78
Chargers,Tyrell,Williams,WR,51,91,93,94,67,,70,43,72,91,34,26,21,27,,,40,50,,,,,42,24,21,54,87,85,77
Chiefs,Zach,Fulton,C,66,66,83,52,85,,25,15,20,64,20,6,6,6,,,75,77,,,,,35,20,20,10,74,92,87
Chiefs,Mitch,Morse,C,71,67,75,53,92,,40,20,40,80,30,6,6,6,,,77,82,,,,,30,25,25,10,82,87,85
Chiefs,Daniel,Munyer,C,54,63,80,76,78,,33,15,27,83,15,6,6,6,,,73,77,,,,,35,12,11,10,84,91,86
Chiefs,Drew,Nowak,C,63,61,78,60,78,,59,40,55,72,22,6,6,6,,,79,76,,,,,45,20,20,10,82,90,75
Chiefs,Deveron,Carr,CB,51,92,90,91,49,,64,33,60,85,36,6,6,6,,,45,45,,,,,45,25,21,70,88,91,70
Chiefs,Marcus,Cooper,CB,68,89,88,83,65,,55,34,73,91,20,10,10,10,,,45,45,,,,,61,22,17,59,88,93,75
