team,first_name,last_name,position,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,throw_accuracy,pass_block,run_block,pass_block_power,pass_block_finesse,run_block_power,run_block_finesse,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two,pro_bowl,nfl_icon,hair_style,hair_color,skin_color,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor
Chiefs,Phillip,Gaines,CB,67,93,93,93,54,60,62,25,64,87,27,6,6,6,6,35,45,45,45,45,45,45,43,10,11,60,92,88,68,Right,23,72,193,26,4/4/1991,4,Rice,3,23,4,1,2824112,549112,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Terrance,Mitchell,CB,75,89,92,95,48,80,73,23,71,82,26,6,6,6,6,21,45,45,45,45,45,45,56,11,10,50,92,94,74,Right,39,71,190,25,5/17/1992,4,Oregon,7,62,2,1,1290000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Steven,Nelson,CB,74,90,90,91,74,65,59,20,68,85,26,6,6,6,6,22,45,45,45,45,45,45,64,15,14,65,90,94,87,Right,20,71,194,24,1/22/1993,3,Oregon State,3,34,4,2,2902948,581948,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Marcus,Peters,CB,88,90,89,91,71,76,68,25,82,89,29,6,6,6,6,25,45,45,45,45,45,45,61,15,14,45,87,94,73,Right,22,72,197,24,1/9/1993,3,Washington,1,18,4,2,9584160,9584160,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Keith,Reaser,CB,65,90,91,85,68,72,64,29,53,88,35,6,6,6,6,35,45,45,45,45,45,45,52,20,20,45,86,76,68,Right,40,72,190,26,7/31/1991,4,Florida Atlantic,5,42,1,1,615000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Darrelle,Revis,CB,92,88,90,88,61,68,71,36,73,85,30,32,28,22,12,28,45,45,40,45,40,45,62,22,15,35,98,88,68,Right,24,71,198,32,7/14/1985,11,Pittsburgh,1,14,2,2,11000000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Justin,Hamilton,DT,59,69,78,62,85,11,40,28,30,80,29,6,6,6,6,25,45,45,45,45,45,45,73,26,21,15,69,87,72,Right,74,74,315,24,7/27/1993,3,Louisiana-Lafayette,15,63,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Bennie,Logan,DT,83,69,78,63,89,15,45,45,37,69,19,6,6,6,6,21,45,45,45,45,45,45,87,25,21,10,79,92,74,Right,96,74,315,27,12/28/1989,5,LSU,3,3,1,1,8000000,7680000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Anthony,Sherman,FB,76,79,86,72,83,50,72,67,65,65,35,20,15,10,10,35,64,56,66,64,83,89,69,20,20,10,87,92,90,Right,42,70,242,29,12/11/1988,7,Connecticut,5,8,1,1,1250000,1100000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Devin,Chappell,FS,61,89,91,87,68,58,58,33,64,85,25,15,15,10,10,15,35,35,35,35,35,35,71,20,20,26,86,86,88,Right,26,74,201,23,5/14/1994,1,Oregon State,15,63,3,3,1673000,8000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Eric,Murray,FS,60,89,92,85,64,60,58,26,55,89,27,6,6,6,6,26,20,25,43,44,43,44,70,18,17,60,90,91,84,Right,21,71,199,23,1/7/1994,2,Minnesota,4,10,4,3,2967304,599804,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Ron,Parker,FS,86,90,90,87,67,72,60,20,72,86,25,15,10,10,15,30,45,45,45,45,45,45,69,20,20,45,87,88,70,Right,38,72,206,30,8/17/1987,7,Newberry,15,63,5,3,25000000,5750000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Steven,Terrell,FS,69,92,89,87,61,65,65,35,70,89,30,6,6,6,6,30,45,45,45,45,45,45,58,18,19,50,87,90,72,Right,30,70,197,27,9/21/1990,5,Texas A&M,15,63,1,1,690000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Akeem,Hunt,HB,68,92,92,89,68,70,79,46,62,93,30,25,20,15,15,30,61,34,35,39,42,40,31,25,25,83,90,87,76,Right,31,70,193,24,2/22/1993,3,Purdue,15,63,2,2,1320000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Kareem,Hunt,HB,65,87,90,87,74,67,91,78,67,87,27,24,20,17,30,42,46,37,55,54,49,48,31,24,16,55,86,87,80,Right,27,70,212,22,8/6/1995,1,Toledo,3,22,4,4,3285722,775952,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Spencer,Ware,HB,85,87,90,87,73,77,88,88,69,87,40,40,35,30,32,35,57,61,61,67,60,62,35,32,31,55,85,92,84,Right,32,70,229,26,11/23/1991,5,LSU,6,34,3,2,4200000,1600000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Charcandrk.,West,HB,73,91,94,85,64,82,79,73,63,96,30,35,30,20,15,40,64,35,49,52,42,42,34,15,14,75,88,87,65,Right,35,70,205,26,6/2/1991,4,Abilene Christian,15,63,3,2,4200000,1600000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Harrison,Butker,K,51,75,78,57,44,24,26,17,30,58,22,25,25,25,20,25,19,18,20,15,15,20,19,91,82,10,82,87,63,Right,7,76,202,22,7/14/1995,1,Georgia Tech,7,41,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Tanoh,Kpassagnon,LE,60,79,85,77,82,38,44,32,48,74,15,6,6,6,6,14,45,45,45,45,45,45,77,15,29,15,82,88,81,Right,92,79,285,23,6/14/1994,1,Villanova,2,27,4,4,43212218,2303296,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Rakeem,Nunez-Roches,LE,62,72,84,54,80,10,40,15,30,83,16,6,6,6,6,23,45,45,45,45,45,45,85,15,25,10,86,78,76,Right,99,74,307,24,7/3/1993,3,Southern Mississippi,6,57,2,1,1140000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Parker,Ehinger,LG,66,64,80,58,80,14,27,26,22,69,20,6,6,6,6,12,75,78,86,78,80,69,33,12,12,10,82,88,73,Right,79,78,310,24,12/30/1992,2,Cincinnati,4,9,4,3,2970412,602912,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Justin,Houston,LOLB,90,84,87,84,85,15,40,40,46,77,36,6,6,6,6,19,45,45,45,45,45,45,92,37,16,10,91,88,80,Right,50,75,258,28,1/12/1989,7,Georgia,3,6,6,4,101000000,32500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Dadi,Nicolas,LOLB,64,81,84,84,72,26,40,31,47,90,22,6,6,6,6,21,24,30,45,44,44,45,76,21,19,9,87,89,86,Right,52,75,235,25,9/29/1992,2,Virginia Tech,6,43,4,3,2490712,123212,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Frank,Zombo,LOLB,73,78,86,75,68,35,50,49,59,72,18,6,6,6,6,29,45,45,45,45,45,45,78,22,29,10,88,85,91,Right,51,75,254,30,3/5/1987,8,Central Michigan,15,63,3,2,3600000,500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Jordan,Devey,LT,65,63,81,60,82,11,40,25,35,69,30,6,6,6,6,30,69,73,84,74,77,72,39,25,25,10,85,87,88,Right,65,78,320,29,1/11/1988,5,Memphis,15,63,1,1,690000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Eric,Fisher,LT,84,70,84,74,88,25,45,39,40,76,29,6,6,6,6,19,73,83,85,93,82,87,43,21,11,10,94,91,86,Right,72,79,315,26,1/5/1991,5,Central Michigan,1,1,6,5,48000000,22000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Bryan,Witzmann,LT,63,67,81,54,80,10,42,15,41,74,22,6,6,6,6,15,73,78,75,69,85,76,28,19,19,10,78,94,74,Right,70,79,320,27,6/16/1990,4,South Dakota State,15,63,2,2,1370000,200000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Ukeme,Eligwe,MLB,51,85,89,80,76,48,57,36,61,82,35,6,6,6,6,32,45,45,45,45,45,45,83,15,14,10,85,87,77,Right,45,74,239,23,4/27/1994,1,Georgia Southern,5,55,4,4,2629948,201948,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Derrick,Johnson,MLB,90,82,86,83,73,46,66,25,74,74,8,6,6,6,6,12,45,45,45,45,45,45,88,21,10,10,93,82,90,Right,56,75,242,35,11/22/1982,13,Texas,1,15,1,1,10250000,2000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Reggie,Ragland,MLB,71,82,87,87,79,31,36,26,52,83,25,5,5,5,5,24,26,29,44,43,44,44,82,19,19,10,88,87,92,Right,59,74,252,24,9/23/1993,2,Alabama,2,9,4,3,5841370,3613785,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Terrance,Smith,MLB,56,82,88,82,77,45,54,50,51,82,25,6,6,6,6,25,45,45,45,45,45,45,78,20,20,15,87,78,81,Right,48,74,235,24,5/3/1993,2,Florida State,15,63,2,1,990000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Ramik,Wilson,MLB,82,84,89,83,76,21,64,39,58,85,25,6,6,6,6,25,45,45,45,45,45,45,85,20,20,10,86,92,83,Right,53,74,237,25,8/19/1992,3,Georgia,4,22,2,1,1140000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Dustin,Colquitt,P,70,69,70,55,40,15,40,10,23,25,40,30,30,25,20,45,17,16,17,17,16,16,29,89,87,10,90,95,75,Left,2,75,210,35,5/6/1982,13,Tennessee,3,35,5,1,18750000,7900000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Tyler,Bray,QB,52,70,80,62,54,20,54,32,35,68,93,75,70,71,75,72,14,11,14,14,11,11,20,15,12,10,90,87,69,Right,9,78,215,25,12/27/1991,5,Tennessee,15,63,3,1,1925000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Patrick,Mahomes II,QB,61,79,87,88,69,81,59,48,37,74,97,83,78,78,84,76,10,10,10,10,10,10,26,20,10,10,96,93,84,Right,15,75,230,22,9/17/1995,1,Texas Tech,1,10,4,4,16425962,16425962,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Alex,Smith,QB,84,79,83,82,63,55,64,26,30,63,86,92,83,78,84,86,20,20,20,20,20,20,25,15,12,10,94,88,92,Right,11,76,217,33,5/7/1984,13,Utah,1,1,5,2,68000000,19000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Chase,Litton,QB,56,75,74,81,62,29,70,59,33,75,89,82,77,70,70,78,20,20,20,20,20,20,23,22,19,10,93,86,90,Right,8,77,232,22,10/5/1995,0,Marshall,15,63,3,3,1710000,0,45,45,0,0,7,4,0,0,0,0,-1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-1,-1,0
Chiefs,Allen,Bailey,RE,77,80,84,74,88,31,50,54,37,87,30,6,6,6,6,30,45,45,45,45,45,45,79,30,30,10,84,91,88,Right,97,75,288,28,3/25/1989,7,Miami (Fla.),3,22,5,2,25000000,10000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Jarvis,Jenkins,RE,77,73,79,58,91,22,35,29,29,55,12,6,6,6,6,22,45,45,45,45,45,45,77,19,19,10,68,80,80,Right,94,76,300,29,4/24/1988,7,Clemson,2,9,1,1,825000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Chris,Jones,RE,86,71,85,74,88,18,29,33,24,72,23,6,6,6,6,21,21,36,44,45,46,45,85,17,17,9,77,90,86,Right,95,78,309,23,7/3/1994,2,Mississippi State,2,5,4,3,6231240,3890050,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Laurent,Duvernay-T.,RG,80,73,77,72,92,10,65,15,40,77,17,6,6,6,6,24,85,74,82,71,83,72,45,20,21,10,85,93,86,Right,76,77,321,26,2/11/1991,4,McGill (Canada),6,40,6,6,41264500,14000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Dee,Ford,ROLB,78,86,87,87,81,36,50,24,45,85,25,6,6,6,6,19,45,45,45,45,45,45,76,14,12,10,84,87,86,Right,55,74,252,26,3/19/1991,4,Auburn,1,23,5,2,8158700,6626150,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Tamba,Hali,ROLB,86,75,79,74,89,25,40,10,47,74,32,6,6,6,6,40,45,45,45,45,45,45,81,16,6,12,90,91,84,Right,91,75,275,34,11/3/1983,12,Penn State,1,20,3,2,22000000,11500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Kevin,Pierre-Louis,ROLB,60,87,88,87,80,44,60,54,63,90,25,6,6,6,6,25,45,45,45,45,45,45,82,20,20,10,93,85,65,Right,57,72,230,26,10/7/1991,4,Boston College,4,36,4,1,2605652,385652,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Cameron,Erving,RT,73,67,76,72,84,12,45,25,45,79,30,6,6,6,6,30,73,73,82,86,80,84,56,25,25,10,85,93,73,Right,75,77,313,25,8/23/1992,3,Florida State,1,19,4,2,9429068,9429068,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Mitchell,Schwartz,RT,86,58,74,63,86,10,40,21,27,73,11,6,6,6,6,11,84,77,88,90,85,87,35,15,12,10,88,84,91,Right,71,77,320,28,6/8/1989,6,California,2,5,5,4,33000000,12660000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Eric,Berry,SS,93,91,90,89,66,84,67,55,79,93,20,15,10,10,15,14,45,45,45,45,45,45,79,22,12,60,85,91,92,Right,29,72,212,28,12/29/1988,8,Tennessee,1,5,6,6,78000000,29800000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Leon,McQuay III,SS,60,86,89,86,60,61,60,48,65,80,30,6,6,6,6,18,45,45,45,45,45,45,65,17,12,35,87,87,75,Right,34,74,190,23,11/21/1994,1,USC,6,58,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Daniel,Sorensen,SS,76,84,89,85,65,44,60,40,62,81,30,10,10,10,10,30,45,45,45,45,45,45,72,25,25,45,88,93,85,Right,49,74,208,27,3/5/1990,4,Brigham Young,15,63,4,4,16000000,4690000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Orson,Charles,TE,64,80,85,77,79,61,72,71,72,81,33,15,10,6,10,32,58,69,64,60,67,66,40,18,16,15,87,95,76,Right,82,75,251,26,1/27/1991,6,Georgia,4,20,2,2,1480000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Demetrius,Harris,TE,69,87,89,88,63,64,68,65,77,88,35,15,10,6,10,35,56,57,55,50,58,63,40,30,30,25,82,90,70,Right,84,79,230,26,7/29/1991,5,Wis.-Milwaukee,15,63,3,2,4600000,1200000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Travis,Kelce,TE,93,85,88,87,79,69,64,78,86,91,67,63,60,54,44,52,68,74,70,71,72,74,45,35,32,15,87,82,85,Right,87,77,260,28,10/5/1989,5,Cincinnati,3,-1,6,5,46842000,10517000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,James,Winchester,TE,50,85,88,80,67,35,64,32,60,88,40,10,10,10,10,40,50,47,50,60,55,65,40,25,24,15,74,76,75,Right,41,75,240,28,8/6/1989,6,Oklahoma,15,63,5,5,4450000,500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Jehu,Chesson,WR,61,90,87,88,65,69,73,53,84,91,30,20,15,15,15,35,48,57,44,42,54,53,42,19,15,60,92,88,80,Right,80,75,204,23,12/29/1993,1,Michigan,4,43,4,4,2847648,419648,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Chris,Conley,WR,73,93,92,91,70,66,73,54,83,97,35,24,22,20,19,32,40,62,40,45,48,48,35,20,20,75,87,90,74,Right,17,75,205,25,10/25/1992,3,Georgia,3,12,4,2,3123686,712436,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Tyreek,Hill,WR,84,97,96,94,64,86,75,31,87,91,36,15,10,6,10,30,33,40,34,34,38,38,27,13,15,94,89,88,66,Right,10,70,185,23,3/1/1994,2,West Alabama,5,37,4,3,2586220,218720,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Demarcus,Robinson,WR,57,88,91,93,59,72,68,34,75,88,24,21,18,16,18,18,38,43,36,34,44,44,23,23,22,71,90,89,76,Right,14,73,203,23,9/21/1994,2,Florida,4,30,4,3,2884672,517172,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,De'Anthony,Thomas,WR,69,92,91,97,41,90,72,38,78,85,32,25,20,15,25,35,29,28,28,29,35,34,19,20,22,89,81,80,64,Right,13,68,176,24,1/5/1993,4,Oregon,4,28,4,1,2665108,420108,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chiefs,Albert,Wilson,WR,77,91,89,88,47,83,71,45,83,90,24,15,10,6,10,24,24,42,19,19,35,34,25,21,18,77,88,91,68,Right,12,69,200,25,7/12/1992,4,Georgia State,15,63,1,1,1797000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Deyshawn,Bond,C,65,65,72,61,85,10,20,25,26,76,23,6,6,6,6,18,73,72,78,73,80,72,36,20,16,10,84,88,79,Left,69,74,297,23,8/19/1994,1,Cincinnati,15,63,3,3,1668000,3000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Anthony,Fabiano,C,52,71,85,72,86,18,31,27,28,79,24,6,6,6,6,21,76,74,77,76,80,78,35,20,20,9,82,79,84,Right,61,73,303,24,7/13/1993,2,Harvard,15,63,2,2,1170000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Ryan,Kelly,C,84,71,81,73,86,17,25,29,26,77,24,6,6,6,6,21,84,76,77,76,80,78,32,20,20,9,87,90,90,Right,78,76,311,24,5/30/1993,2,Alabama,1,18,4,3,10450986,10450986,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Pierre,Desir,CB,63,88,93,90,55,66,64,33,76,92,35,6,6,6,6,35,45,45,45,45,45,45,54,20,20,56,87,93,69,Right,35,74,198,27,9/8/1990,4,Lindenwood,4,31,1,1,790000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,T.J.,Green,CB,66,93,93,87,63,72,63,52,77,86,26,6,6,6,6,25,19,27,44,43,44,43,74,20,19,81,90,88,77,Right,32,75,208,22,3/15/1995,2,Clemson,2,25,4,3,4167240,2198720,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Nate,Hairston,CB,53,88,89,93,68,62,63,32,70,85,27,6,6,6,6,36,45,45,45,45,45,45,63,21,15,65,87,90,78,Right,27,72,190,23,6/30/1994,1,Temple,5,30,4,4,2667800,267800,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Rashaan,Melvin,CB,71,90,90,89,56,50,49,10,59,90,17,6,6,6,6,21,45,45,45,45,45,45,56,18,22,54,90,87,69,Right,30,74,195,28,10/2/1989,5,Northern Illinois,15,63,2,1,1450000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Chris,Milton,CB,55,92,90,83,56,66,58,39,61,85,30,6,6,6,6,29,31,28,45,45,45,45,66,25,21,71,90,92,81,Right,28,71,193,25,9/15/1992,2,Georgia Tech,15,63,2,1,990000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,Kenny,Moore II,CB,56,87,90,90,58,61,53,53,58,93,17,6,6,6,6,22,35,35,35,35,35,35,55,21,24,72,89,88,92,Right,42,69,182,22,8/23/1995,1,Valdosta State,15,63,3,3,1667500,5000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colts,D.J.,White,CB,54,89,88,89,69,66,62,28,67,89,27,6,6,6,6,26,18,22,43,44,43,44,60,18,17,65,89,90,85,Right,37,71,193,24,9/9/1993,2,Georgia Tech,6,18,4,3,2524012,157012,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
