PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PPOS,TGID,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,2,2,2,2,19,Derrick,Mason,3,25,2000,90,0,370,27,90,0,0,1738,1738,87,33,1,1,89,2,0,0,93,0,0,90,2,2,1009,87,29,29,28,0,0,38,0,0,0,0,0,0,0,118,37,100,0,0,3,2,0,0,0,85,2,5,370,5,80,0,4,34,72,82,10,1026,63,0,1,96,28,46,86,90,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,2000,0,70,32,295,75,2,-31,0,0,331
45,4,4,4,4,22,Demetrius,Williams,3,25,150,87,0,132,14,94,0,7,27439,27439,90,24,0,1,67,0,0,0,82,0,0,91,2,14,1015,75,27,21,28,0,1,52,6,0,0,0,0,0,0,160,45,100,0,0,2,0,22,0,0,87,2,3,132,3,70,0,4,29,59,92,1,0,59,0,1,88,14,60,80,62,2,2,2,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,150,0,74,37,999,50,1,-31,0,0,195
45,2,2,2,2,12,Clarence,Moore,3,25,85,82,0,25,13,85,0,7,17335,17335,86,24,0,0,77,0,0,0,73,0,0,83,2,34,1015,90,24,23,23,0,0,69,0,0,0,0,0,0,0,133,45,100,0,0,1,0,0,0,0,84,2,1,25,1,79,0,6,10,45,97,3,1030,54,0,1,88,14,64,74,64,2,2,2,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,85,0,78,51,999,15,3,-31,0,0,187
45,2,2,2,2,59,Antwaan,Randle El,3,26,3100,97,0,378,18,97,0,5,15294,15294,93,27,2,1,92,1,0,0,79,0,0,98,2,30,1009,91,25,12,11,0,0,55,0,0,0,0,0,0,0,86,45,100,0,0,6,0,0,0,0,82,2,7,378,7,95,0,2,70,59,83,5,1078,65,0,1,99,18,52,82,72,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,3100,0,70,24,4,90,1,-31,0,0,393
45,4,4,4,4,10,Brandon,Lloyd,3,26,1720,88,0,378,28,90,0,1,16667,16667,88,26,0,1,68,1,0,0,90,0,0,89,2,27,15,84,25,20,25,0,0,40,0,0,2,0,0,0,0,84,37,100,2,2,6,2,75,0,0,85,2,7,378,7,95,0,4,27,59,91,4,1069,55,0,1,92,24,44,82,75,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,1720,0,72,24,999,58,1,-31,0,0,322
45,4,4,4,4,17,Santana,Moss,3,26,3100,93,1,534,19,98,0,1,14149,14149,98,28,0,1,88,1,0,0,88,0,0,98,2,16,18,83,15,25,27,0,7,44,3,0,4,8,8,8,8,115,36,100,2,2,4,2,45,0,0,89,2,6,534,6,95,0,1,17,75,85,6,1073,56,0,1,96,19,44,89,85,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,3100,0,70,25,334,97,2,-31,0,0,356
45,4,4,4,4,22,James,Thrash,3,26,360,90,0,84,24,85,0,0,1535,1535,88,32,0,1,82,2,0,0,79,0,0,82,1,63,13,85,18,16,29,0,1,45,0,0,0,0,0,0,0,265,45,100,0,0,3,0,0,0,0,83,2,3,84,3,80,0,15,16,43,80,10,1087,60,0,1,68,24,53,75,80,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,360,0,72,40,448,87,7,-31,0,0,213
45,2,2,2,2,25,Michael,Lewis,3,27,240,79,1,48,18,96,0,5,14773,14773,95,34,0,0,62,2,0,0,68,0,0,94,2,63,1009,76,26,15,30,0,1,42,0,0,0,0,1,0,1,264,45,100,2,0,2,0,45,0,0,84,1,3,48,3,84,0,15,18,38,70,6,618,65,6,1,95,19,41,71,65,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,240,0,68,5,605,95,6,-31,0,0,192
45,2,2,2,2,30,David,Patten,3,27,95,86,0,22,19,88,0,7,16015,16015,90,33,0,1,78,2,0,0,76,0,0,84,2,63,1009,75,12,25,24,0,0,48,0,0,0,0,0,0,0,243,45,100,2,2,1,0,40,0,0,81,2,1,22,1,80,0,15,30,42,80,10,1124,64,0,1,91,15,47,73,72,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,95,0,70,30,345,60,0,-31,0,0,202
45,2,2,2,2,11,Devery,Henderson,3,27,260,87,0,256,10,99,0,5,17322,17322,98,25,0,0,80,0,0,0,82,0,0,94,2,18,1015,88,15,21,23,0,7,43,0,0,0,0,0,0,0,106,36,100,2,1,1,0,40,0,0,19,2,4,256,4,72,0,2,14,67,83,3,1111,59,0,1,94,10,49,84,76,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,260,0,71,38,999,76,3,-31,0,0,195
45,2,2,2,2,22,Terrance,Copper,3,27,85,85,0,28,12,90,0,5,26502,26502,88,25,0,1,80,0,0,0,78,0,0,87,2,63,1009,83,36,30,40,0,1,50,0,0,0,0,0,0,0,54,45,100,0,0,1,0,0,0,0,18,2,1,28,1,70,0,15,25,47,88,3,1100,58,0,1,95,17,54,75,66,2,0,2,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,85,0,72,41,999,55,1,-31,0,0,196
12,2,2,2,2,19,Robert,Meachem,3,27,800,90,0,270,20,94,0,7,27922,27922,93,22,0,1,83,0,0,0,84,0,0,92,2,27,1015,93,30,37,40,0,1,62,0,0,0,0,0,0,0,211,36,100,0,0,5,0,42,0,0,85,2,5,270,5,60,0,1,24,62,89,0,0,62,0,1,90,21,61,82,60,3,3,3,3,5,7,0,10,5,10,5,10,5,1,3,4,10,4,5,800,0,74,54,920,35,0,-31,0,0,202
45,2,2,2,2,25,Marques,Colston,3,27,90,89,0,2,15,90,0,5,27459,27459,87,24,0,0,86,0,0,0,90,0,0,88,2,44,1015,90,45,30,44,0,7,72,0,0,0,0,0,0,0,78,45,100,2,1,2,0,35,0,0,12,2,2,2,2,72,0,7,28,76,95,1,0,68,0,1,90,14,72,88,79,0,0,0,0,6,7,0,10,6,10,6,10,6,0,3,6,10,7,6,90,0,76,71,999,55,1,-31,0,0,195
45,2,2,2,2,17,Bobby,Engram,3,28,260,88,0,118,24,91,0,5,213,213,87,34,0,1,75,2,0,0,86,0,0,94,2,22,1009,71,11,22,23,0,1,42,0,0,0,0,0,0,0,164,45,100,0,0,2,2,0,0,0,84,2,2,118,2,88,0,2,18,62,79,11,1149,55,0,1,91,15,46,83,86,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,260,0,70,28,632,69,6,-31,0,0,186
45,3,3,3,3,35,Ben,Obomanu,3,28,60,88,0,36,25,88,0,7,27464,27464,87,22,0,0,80,0,0,0,72,0,0,92,2,41,1015,87,29,22,26,0,0,62,0,0,0,8,8,8,8,14,45,100,3,3,2,0,40,0,0,87,2,3,36,3,90,0,7,33,31,92,1,0,62,0,1,87,16,58,69,40,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,60,0,73,45,999,65,1,-31,0,0,195
45,3,3,3,3,18,Nate,Burleson,3,28,4900,86,0,238,25,93,0,7,16723,16723,91,26,0,0,75,1,0,0,75,0,0,94,2,7,1009,85,10,25,25,0,0,56,0,0,0,8,8,8,8,143,45,100,3,3,6,0,40,0,0,81,2,7,238,7,90,0,3,10,49,91,4,1145,56,0,1,95,16,46,77,66,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,4900,0,72,37,999,87,1,-31,0,0,204
45,4,4,4,4,19,Deion,Branch,3,28,2500,90,0,420,16,95,0,5,15299,15299,93,28,0,0,78,1,0,0,90,0,0,95,2,33,22,87,27,20,25,0,8,40,0,0,0,0,0,0,0,105,35,100,0,0,5,2,0,0,0,83,2,5,420,5,78,0,2,15,73,84,5,1143,59,0,1,95,16,48,88,87,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,2500,0,69,33,389,81,1,-31,0,0,47
45,3,3,3,3,22,D.J.,Hackett,3,28,130,85,0,40,12,91,0,5,26467,26467,88,26,0,0,80,0,0,0,80,0,0,86,2,25,1015,83,36,30,35,0,1,52,0,0,0,0,0,0,0,41,45,100,0,0,1,2,0,0,0,18,2,1,40,1,70,0,5,25,53,89,3,0,54,0,1,95,17,58,79,76,3,0,3,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,130,0,74,39,999,55,3,-31,0,0,196
45,3,3,3,3,40,Santonio,Holmes,3,29,870,96,0,220,15,94,0,7,27287,27287,93,23,0,0,75,0,0,0,79,0,0,92,2,25,1015,92,25,34,38,0,7,49,0,0,0,9,9,9,9,156,36,100,2,2,4,0,33,0,0,10,2,5,220,5,0,0,1,28,58,88,1,1197,49,0,1,88,13,56,80,68,0,0,0,0,4,6,0,10,5,10,5,10,5,1,3,3,10,4,5,870,0,71,29,834,75,1,-31,0,0,205
45,2,2,2,2,26,Willie,Reid,3,29,99,89,0,48,10,93,2,7,27467,27467,91,24,0,0,75,0,0,0,70,0,0,93,2,31,1015,90,22,24,28,0,0,58,0,0,0,8,8,8,8,64,45,100,0,0,2,0,25,0,0,15,2,3,48,3,85,0,3,28,38,87,1,1213,62,0,1,90,12,54,71,48,2,2,2,2,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,99,0,70,26,999,88,1,-31,0,0,195
45,2,2,2,2,19,Nate,Washington,3,29,44,82,0,31,25,92,0,7,27187,27187,88,24,0,0,75,0,0,0,77,0,0,90,2,63,1009,86,21,21,25,0,1,48,0,0,0,8,8,8,8,265,45,100,0,0,1,0,0,0,0,85,2,1,31,1,0,0,15,19,49,91,2,1226,55,0,1,95,24,52,76,66,3,2,3,2,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,44,0,72,26,999,90,2,-31,0,0,195
45,2,2,2,2,45,Cedrick,Wilson,3,29,800,84,0,136,19,91,0,0,14159,14159,91,27,0,0,77,1,0,0,78,0,0,87,2,6,1009,80,19,30,38,0,0,50,0,0,0,0,0,0,0,211,45,100,0,0,2,2,0,0,0,80,2,4,136,4,90,0,3,55,51,79,6,1227,45,0,1,95,19,49,77,75,3,0,3,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,800,0,70,19,999,72,2,-31,0,0,186
45,3,3,3,3,48,Hines,Ward,3,29,2580,99,0,420,16,88,0,0,1684,1684,87,31,2,1,99,2,0,0,94,0,0,89,1,31,1015,91,40,44,65,0,0,70,0,0,0,0,0,0,0,70,35,100,0,0,2,0,0,0,1,86,2,4,420,4,90,0,3,58,82,86,9,1225,67,6,1,95,17,72,91,92,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,2580,0,72,55,469,60,9,-31,0,0,484
45,4,4,4,4,48,Chris,Davis,3,30,120,91,0,57,16,90,0,7,27978,27978,88,23,0,1,80,0,0,0,78,0,0,94,2,29,1015,87,22,30,32,0,8,30,0,0,0,8,8,8,8,64,45,100,0,0,3,0,25,0,0,17,1,3,57,3,0,0,4,44,47,82,0,0,60,0,1,90,17,49,72,59,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,120,0,70,21,999,86,0,-31,0,0,198
45,4,4,4,4,32,Paul,Williams,3,30,200,91,0,100,16,91,0,7,27980,27980,89,23,0,1,75,0,0,0,79,0,0,92,2,17,1015,88,51,37,35,0,8,40,0,0,0,8,8,8,8,66,45,100,0,0,4,0,25,0,0,11,2,4,100,4,0,0,3,30,51,84,0,1267,64,0,1,90,17,53,74,59,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,200,0,73,45,999,75,0,-31,0,0,198
45,3,3,3,3,48,Justin,Gage,3,30,60,85,0,31,29,87,0,7,17111,17111,86,26,1,0,78,1,0,0,76,0,0,87,2,8,1009,87,21,28,30,0,7,66,0,0,0,0,0,0,0,122,45,100,0,0,1,0,0,0,0,12,2,1,31,1,90,0,5,50,56,94,4,1234,59,0,1,88,22,65,76,64,0,3,0,3,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,60,0,76,57,999,40,0,-31,0,0,193
45,2,2,2,2,15,David,Givens,3,30,2400,90,0,295,18,83,0,5,15658,15658,86,27,0,0,92,1,0,0,87,0,0,83,2,42,1009,75,16,29,25,0,0,70,0,0,0,0,0,0,0,152,45,100,0,0,4,0,0,0,0,87,0,5,295,5,74,0,7,25,71,87,5,1237,65,0,1,95,21,70,83,84,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,2400,0,72,52,999,45,1,-31,0,0,223
45,4,4,4,4,22,Jonathan,Orr,3,30,99,85,0,66,15,93,0,5,27477,27477,95,24,0,0,45,0,0,0,75,0,0,90,2,3,1015,87,25,24,25,0,1,44,0,0,0,0,1,0,1,258,45,100,0,0,2,0,32,0,0,85,2,3,66,3,78,0,6,26,49,94,1,0,48,0,1,88,25,53,73,48,2,2,2,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,99,0,73,33,999,67,1,-31,0,0,199
45,2,2,2,2,13,Brandon,Jones,3,30,150,89,0,102,13,90,0,7,26746,26746,90,25,0,0,86,0,0,0,82,0,0,89,2,32,1015,89,29,20,23,0,0,54,0,0,0,0,0,0,0,157,45,100,0,0,1,0,0,0,0,81,2,3,102,3,82,0,3,10,58,88,2,1245,60,0,1,95,11,56,77,61,2,2,2,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,150,0,73,47,999,34,2,-31,1,0,201
45,4,4,4,4,33,Aundrae,Allison,3,31,160,91,0,124,12,96,0,7,27944,27944,93,21,0,1,75,0,0,0,78,0,0,94,2,9,1015,89,22,30,38,0,8,55,0,0,0,8,8,8,8,54,45,100,0,0,4,0,25,0,0,14,2,4,124,4,0,0,5,30,52,88,0,0,62,0,1,90,15,52,76,50,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,160,0,72,37,999,80,0,-31,0,0,193
45,3,3,3,3,25,Cortez,Hankton,3,31,85,70,0,13,11,90,0,7,17139,17139,88,26,0,1,69,1,0,0,72,0,0,86,2,63,1009,79,25,15,28,0,1,46,0,0,0,7,7,7,7,216,45,100,0,0,1,0,0,0,0,16,2,1,13,1,80,0,15,29,39,87,4,1279,62,0,1,81,25,48,70,58,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,85,0,72,44,999,82,0,-31,0,0,193
45,4,4,4,4,22,Sidney,Rice,3,31,500,92,0,220,15,90,0,7,27919,27919,89,21,0,0,85,0,0,0,85,0,0,91,2,12,1015,94,30,30,45,0,0,58,0,0,0,0,0,0,0,176,45,100,2,2,5,0,32,0,0,18,2,5,220,5,91,0,2,30,61,92,0,0,70,0,1,89,25,60,80,58,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,500,0,76,40,934,45,0,-31,0,0,193
45,4,4,4,4,29,Troy,Williamson,3,31,4000,90,0,186,15,95,0,5,26725,26725,96,24,0,0,84,0,0,0,70,0,0,91,2,7,1015,90,30,32,39,0,7,56,0,0,0,0,0,0,0,176,36,100,0,0,4,0,0,0,0,82,2,6,186,6,85,0,1,22,52,89,2,1306,63,0,1,96,25,52,76,65,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,4000,0,73,42,673,30,2,-31,0,0,199
45,2,2,2,2,12,Billy,McMullen,3,31,60,80,0,28,13,87,0,0,16652,16652,86,27,0,0,75,1,0,0,77,0,0,83,2,31,13,85,22,13,25,0,1,63,0,0,0,7,7,7,7,240,45,100,1,1,1,0,40,0,0,12,2,1,28,1,72,0,3,30,50,87,4,1293,62,0,1,82,25,60,75,69,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,60,0,76,50,999,40,1,-31,0,0,195
45,2,2,2,2,22,Bobby,Wade,3,31,1500,80,0,200,27,92,0,7,16591,16591,90,26,0,1,79,1,0,0,81,0,0,90,2,4,1009,76,28,13,22,0,0,46,0,0,0,0,0,0,0,8,45,100,0,0,5,0,0,0,0,19,2,5,200,5,91,0,5,30,59,76,4,1304,62,0,1,89,32,48,79,78,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,1500,0,70,33,999,80,2,-31,0,0,193
45,4,4,4,4,25,Jacoby,Jones,3,32,160,92,0,76,20,91,0,7,28009,28009,91,23,0,0,78,0,0,0,74,0,0,90,2,9,1015,90,30,30,40,0,0,45,0,0,0,0,0,0,0,265,45,100,2,2,4,0,32,0,0,12,2,4,76,4,91,0,3,30,45,93,0,0,58,0,1,90,25,54,72,50,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,160,0,75,50,999,65,0,-31,0,0,195
45,4,4,4,4,26,Jerome,Mathis,3,32,150,88,1,57,11,95,0,7,26809,26809,98,24,0,0,75,0,0,0,72,0,0,92,2,13,1015,87,20,24,24,0,8,47,0,0,0,0,0,0,0,74,36,100,3,3,1,0,45,0,0,13,1,3,57,3,85,0,4,24,45,82,2,1333,55,0,1,85,21,44,72,53,0,2,0,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,150,0,71,31,789,94,2,-31,0,0,205
45,4,4,4,4,31,Kevin,Walter,3,32,600,79,0,52,19,84,0,7,17114,17114,86,26,0,0,65,1,0,0,74,0,0,83,0,63,1009,79,11,35,30,0,1,50,0,2,0,7,7,7,7,58,45,100,0,0,3,0,0,0,0,83,2,4,52,4,90,0,15,23,41,83,4,1346,57,0,1,85,15,57,70,65,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,600,0,74,59,999,0,1,-31,0,0,164
45,4,4,4,4,19,Andre,Davis,3,32,85,90,0,28,16,92,0,7,14850,14850,95,28,0,0,73,1,0,0,73,0,0,87,2,15,1009,79,20,14,19,0,0,49,0,0,0,0,0,0,0,241,45,100,0,0,1,0,0,0,0,11,1,1,28,1,80,0,2,23,52,88,5,1318,54,0,1,86,16,46,75,70,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,85,0,73,35,539,75,0,-31,0,0,188
45,4,4,4,4,23,David,Anderson,3,32,36,87,0,22,19,92,0,7,27490,27490,90,24,0,0,60,0,0,0,78,0,0,86,0,43,1015,89,21,25,33,0,8,45,0,2,0,0,0,0,0,42,45,100,0,0,1,0,47,0,0,14,2,1,22,1,66,0,7,23,48,85,1,0,57,0,1,85,15,55,73,55,2,2,2,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,36,0,69,34,999,75,1,-31,0,0,152
45,4,4,4,4,28,Andre,Johnson,3,32,6300,96,0,875,21,94,1,5,16527,16527,95,26,1,1,83,1,0,0,89,0,0,93,2,3,1015,92,40,36,47,0,8,72,0,0,0,0,0,0,0,115,35,100,0,0,7,0,0,0,1,80,2,7,875,7,90,0,1,27,92,96,4,1329,68,0,1,90,26,73,93,85,0,0,0,0,6,7,0,10,6,10,6,10,6,0,3,6,10,7,6,6300,0,74,61,540,70,4,-31,1,0,283
45,4,4,4,4,20,Mike,Hogan,3,1009,0,92,0,0,20,82,0,7,28088,28088,82,44,0,0,80,2,0,0,70,0,0,86,0,63,1023,90,45,30,35,0,8,50,0,2,0,0,0,0,0,152,45,100,0,0,0,0,0,0,0,82,2,0,0,0,45,0,15,21,55,90,0,0,55,0,1,90,20,44,64,51,0,0,0,0,3,7,5,10,3,10,10,5,7,0,3,7,7,5,6,0,0,74,45,999,65,0,-31,0,0,166
45,2,2,2,2,20,Jeremy,Bloom,3,1009,0,85,0,0,33,96,0,7,27355,27355,95,25,2,1,55,0,0,0,74,0,0,92,0,14,1023,85,15,20,25,0,1,35,0,2,0,0,0,0,0,41,45,100,1,1,0,0,50,0,0,11,1,0,0,0,80,0,5,21,39,80,1,1633,60,0,1,90,36,35,71,52,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,0,0,69,20,999,90,31,-31,0,0,154
45,2,2,2,2,49,Freddie,Mitchell,3,1009,0,96,0,0,33,89,0,7,14163,14163,88,28,0,0,90,1,0,0,80,0,0,88,2,25,9,94,34,32,58,0,1,45,0,0,15,0,0,0,0,226,45,100,0,0,0,0,25,0,0,84,2,0,0,0,99,0,1,56,56,87,5,1764,55,0,1,45,36,44,74,62,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,0,0,71,24,324,62,0,-31,0,0,188
45,4,4,4,4,23,Troy,Walters,3,1009,0,79,0,0,25,87,0,7,1790,1790,86,30,0,1,62,1,0,0,77,0,0,87,2,36,1009,76,16,22,27,0,7,44,0,0,0,0,0,0,0,200,45,100,0,0,0,0,0,0,0,86,2,0,0,0,78,0,5,18,33,75,7,1838,37,0,1,95,15,45,70,65,0,0,0,0,4,6,0,10,5,10,5,10,5,0,3,3,10,4,5,0,0,67,12,999,82,1,-31,0,0,188
45,2,4,2,4,19,Larry,Brackins,3,1009,0,83,0,0,12,88,0,7,26736,26736,85,24,0,0,85,0,0,0,74,0,0,88,2,19,6,87,40,34,35,0,0,63,0,0,0,0,1,0,1,265,45,100,0,0,0,0,1,0,0,16,2,0,0,0,85,0,5,11,40,96,1,1638,60,0,1,91,19,65,71,45,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,76,45,999,25,31,-31,0,0,188
45,2,2,2,2,74,Marcus,Vick,3,1009,0,75,0,0,14,90,0,7,27545,27545,88,23,0,0,55,0,0,0,71,0,0,88,2,63,1009,84,20,20,25,0,7,58,0,0,0,0,0,0,0,241,45,100,0,0,0,2,0,0,0,16,2,0,0,0,90,0,15,86,17,85,1,0,65,0,1,75,21,54,69,52,0,2,0,2,5,7,0,10,5,10,5,10,5,1,3,4,10,4,5,0,0,72,56,999,75,0,-31,0,0,189
14,2,2,2,2,28,Charles,Rogers,3,1009,0,86,0,0,21,85,2,4,16523,16523,84,26,0,1,80,0,0,0,78,0,0,87,2,2,1009,54,24,34,38,0,7,55,0,0,0,0,0,0,0,118,45,100,1,1,0,0,78,0,0,80,2,0,0,0,87,0,1,27,54,90,3,1795,61,0,1,90,26,55,74,64,0,3,0,3,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,74,42,274,59,31,-31,0,0,410
45,2,2,2,2,19,Dez,White,3,1009,0,86,0,0,27,87,0,7,241,241,92,28,0,1,80,1,0,0,73,0,0,86,2,7,14,73,28,30,29,0,8,60,0,0,0,0,0,0,0,71,45,100,4,4,0,0,0,0,0,89,2,0,0,0,75,0,3,30,57,84,6,1843,64,0,1,94,19,55,73,67,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,73,55,483,67,31,-31,1,0,188
45,4,4,4,4,40,Peter,Warrick,3,1009,0,90,0,0,18,94,0,1,292,292,87,30,0,0,80,1,0,0,84,0,0,95,2,4,1009,82,22,19,25,0,7,40,0,0,0,7,7,7,7,64,45,100,0,0,0,0,0,0,0,83,2,0,0,0,98,0,1,41,62,83,6,1839,53,0,1,93,17,40,80,76,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,71,35,472,85,31,-31,0,0,487
45,2,2,2,2,23,Marcus,Robinson,3,1009,0,82,0,0,30,82,1,5,214,214,89,32,0,0,68,2,0,0,85,0,0,80,2,12,1009,50,26,29,39,0,1,52,0,0,0,0,0,0,0,176,45,100,3,3,0,0,78,0,0,87,2,0,0,0,90,0,4,19,57,90,9,1794,65,0,1,90,28,59,79,77,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,75,55,661,15,0,-31,0,0,408
45,4,4,4,4,18,Troy,Brown,3,1009,0,99,0,0,24,89,0,7,1306,1306,86,36,0,0,87,2,0,0,85,0,0,92,2,2,1015,85,52,26,28,0,0,54,0,0,0,0,0,0,0,110,45,100,0,0,0,0,0,0,0,80,0,0,0,0,72,0,7,19,71,79,14,1650,62,0,1,93,24,45,83,91,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,70,36,56,85,14,-31,0,0,188
45,4,4,4,4,24,Keenan,McCardell,3,1009,0,84,0,0,18,85,0,7,1042,1042,85,37,2,1,88,2,0,0,91,0,0,86,2,20,6,82,26,32,35,0,1,50,0,0,0,0,0,0,0,143,37,100,0,0,0,0,0,0,0,87,0,0,0,0,90,0,12,19,73,80,16,1755,74,10,1,95,27,54,84,93,0,0,0,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,73,31,300,15,0,-31,0,0,188
45,4,4,4,4,17,Eric,Moulds,3,1009,0,98,0,0,22,90,0,7,319,319,88,34,0,1,92,2,0,0,85,0,0,86,2,24,3,77,28,34,42,0,0,68,0,0,0,0,0,0,0,121,45,100,0,0,0,0,0,0,1,84,2,0,0,0,75,0,1,25,78,87,11,1769,61,6,1,84,28,70,86,88,0,0,2,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,74,50,336,20,0,-31,0,0,186
45,4,4,4,4,72,Marques,Hagans,3,1009,0,90,0,0,10,93,0,7,27432,27432,87,24,0,0,75,0,0,0,74,0,0,93,2,11,1023,87,19,22,26,0,1,50,2,0,0,0,0,0,0,240,45,100,3,2,0,2,33,0,0,15,2,0,0,0,74,0,5,82,49,85,1,0,60,0,1,92,15,52,71,49,2,2,2,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,70,49,999,84,31,-31,0,0,189
45,4,2,4,2,15,Corey,Bradford,3,1009,0,84,0,0,16,91,0,7,1226,1226,91,31,0,0,65,2,0,0,80,0,0,84,2,27,1009,62,11,24,28,0,8,50,0,0,0,0,0,0,0,92,45,100,0,0,0,0,0,0,0,17,2,0,0,0,76,0,5,24,42,83,9,1639,50,0,1,94,29,49,76,68,3,0,3,0,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,73,37,46,70,1,-31,0,0,188
45,4,4,4,4,22,Antonio,Bryant,3,1009,0,88,0,0,12,92,1,7,14852,14852,91,26,0,1,71,1,0,0,87,0,0,90,2,31,1009,74,20,35,44,0,7,60,0,0,0,0,0,0,0,166,36,100,0,0,0,0,0,0,0,81,2,0,0,0,90,0,2,25,79,95,5,1652,59,0,1,65,12,66,86,75,3,2,3,2,5,7,0,10,5,10,5,10,5,0,3,4,10,4,5,0,0,73,32,65,65,0,-31,0,0,188
45,4,4,4,4,15,Tyrone,Calico,3,1009,0,84,0,0,22,89,1,7,16571,16571,92,26,0,1,75,0,0,0,70,0,0,88,2,28,1009,73,30,30,32,0,0,64,0,0,0,8,8,8,8,119,45,100,0,0,0,0,0,0,0,87,2,0,0,0,95,0,2,17,53,93,3,1653,59,0,1,88,20,66,72,52,0,0,0,0,6,7,0,10,6,10,6,10,6,0,3,6,10,7,6,0,0,76,62,999,66,31,-31,0,0,188
